Simulation start time: 1620145350.4445312
century      |   contacts since last time step   |   overall contact rate  |
-------------|-----------------------------------|-------------------------|
1000         | 2                                 | %11.111111      
2000         | 0                                 | %8              
3000         | 0                                 | %5.5555556      
4000         | 1                                 | %6.25           
5000         | 1                                 | %7.2727273      
6000         | 1                                 | %7.6923077      
7000         | 0                                 | %6.1728395      
8000         | 0                                 | %5.1546392      
9000         | 0                                 | %4.4642857      
10000        | 2                                 | %5.3846154      
11000        | 2                                 | %6.2068966      
12000        | 0                                 | %6.0402685      
13000        | 2                                 | %6.7901235      
14000        | 1                                 | %6.9364162      
15000        | 3                                 | %7.9787234      
16000        | 0                                 | %7.5            
17000        | 3                                 | %8.3333333      
18000        | 0                                 | %7.860262       
19000        | 1                                 | %7.7868852      
20000        | 1                                 | %7.7220077      
21000        | 2                                 | %8.1481481      
22000        | 1                                 | %8.3333333      
23000        | 1                                 | %8.3623693      
24000        | 0                                 | %8.0267559      
